week,date,day,slot,time,pillar,weekly_theme,editorial_angle,format,working_title,hook,outline,cta,source
0,2026-08-20,Thursday,AM,09:00,Series Launch,Launch - consolidation before week 1,Launch,series announcement,"Announcing: 100 weeks of agentic + ML systems engineering, 2 posts a day","~95% of enterprise agents die in prototype. Over the next 100 weeks I am publishing the dependency graph of skills that keeps yours out of that statistic - 2 posts a day, every day.","State the thesis: agent skills form a dependency graph, and most engineers study the wrong layers | Preview the 10 pillars in one line each, from system design fundamentals to career/FDE | Set expectations: Sun-Sat cadence, fixed daily formats, first full week starts Sunday",Follow along - this series runs all week.,curriculum.md (in github.com/QuantumindSSI/systemdesign)
0,2026-08-20,Thursday,PM,17:00,Series Launch,Launch - consolidation before week 1,Launch,poll,Poll: which pillar should this series go deepest on?,The calendar covers ten pillars over five passes. Vote for the one you want weighted heaviest - I will read the results before pass two.,"Option A: harness / loop / graph engineering | Option B: inference and edge deployment | Option C: system design fundamentals | Option D: career, FDE and interviews",Comment your take - I read every reply.,curriculum.md (in github.com/QuantumindSSI/systemdesign)
0,2026-08-21,Friday,AM,09:00,Series Launch,Launch - consolidation before week 1,Launch,concept deep-dive,The 7-layer map: why most engineers study the wrong layers,Layer 0 knowledge is table stakes. Layers 2-4 are where agents live or die - and where almost nobody invests. Here is the full map.,"Walk Layers 0-6 in one line each: foundations, model lifecycle, agent stack, ADEs, evals/governance, MLOps, applied grounding | Make the core claim: each layer assumes the one below it - skipping layers is how prototypes die | Close with a self-diagnosis question: which layer is your weakest link right now?",Save this for your next design review.,curriculum.md (in github.com/QuantumindSSI/systemdesign)
0,2026-08-21,Friday,PM,17:00,Series Launch,Launch - consolidation before week 1,Launch,resource roundup,The 28-repo reference library behind the next 100 weeks,"Every repo in this library was verified live this week - existence, activity, and content claims checked against each README. This is the source material for everything that follows.",Present the six categories with one anchor repo each | Explain the verification pass: what was checked and the one DMCA takedown it caught | Link the full annotated list and invite readers to flag gaps,Bookmark this; you will need it at 3am someday.,files.md (in github.com/QuantumindSSI/systemdesign)
0,2026-08-22,Saturday,AM,09:00,Series Launch,Launch - consolidation before week 1,Launch,how-it-works guide,How this series works: the weekly cadence and the five passes,"Same rhythm every week for 100 weeks: kickoff Sunday, deep-dive Monday, real code Tuesday, case study Wednesday, hands-on Thursday, hot take Friday, quiz Saturday.","Show the day-by-day format table for both daily slots | Explain the five editorial passes: foundations, builder's pass, failure modes, scale, frontier | Tell readers how to follow: daily at 09:00/17:00, or batch the week every Sunday",Follow along - this series runs all week.,content_calendar_overview.md (in github.com/QuantumindSSI/systemdesign)
0,2026-08-22,Saturday,PM,17:00,Series Launch,Launch - consolidation before week 1,Launch,weekend challenge,Weekend challenge: baseline yourself before week 1,"Before the first deep-dive lands Sunday, take 20 minutes to score yourself - honestly - across all ten pillars. You will revisit this baseline at week 20.",Rate yourself 1-5 on each of the ten pillars and keep the scores somewhere visible | Pick the pillar you are committing to move from a 2 to a 4 this year | Post your weakest pillar in the comments - accountability beats bookmarks,Tag someone who is debugging this right now.,curriculum.md (in github.com/QuantumindSSI/systemdesign)
1,2026-08-23,Sunday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,theme kickoff,"Week 1 kickoff - System Design Fundamentals - Foundations, part 1","This week: system design fundamentals, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: the CAP theorem; PACELC tradeoffs; consistent hashing; load balancing algorithms; L4 vs L7 load balancing; reverse proxies | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Save this for your next design review.,github.com/donnemartin/system-design-primer
1,2026-08-23,Sunday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,poll,Poll (week 1): where are you with system design fundamentals?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Follow along - this series runs all week.,github.com/donnemartin/system-design-primer
1,2026-08-24,Monday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,concept deep-dive,"the CAP theorem, explained from first principles",Most engineers can name the CAP theorem. Far fewer can explain the mechanics. Here is the foundations version.,"Define the CAP theorem in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Comment your take - I read every reply.,github.com/ByteByteGoHq/system-design-101
1,2026-08-24,Monday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,annotated diagram,the CAP theorem in one diagram (foundations),"If you cannot draw the CAP theorem, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Bookmark this; you will need it at 3am someday.,github.com/ByteByteGoHq/system-design-101
